Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_2x19_P2.54mm_Vertical,1,NucleoF446RE CN10 Header,
J2,PinHeader_2x19_P2.54mm_Vertical,1,NucleoF446RE CN7 Header,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,EXT_5V_SUPPLY_JMP,
JP2,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,EXT_5V_GND_JMP,
"RV1, RV3",Potentiometer_Bourns_3224W_Vertical,2,50R trimpot,
RV2,Potentiometer_Bourns_3224W_Vertical,1,500R trimpot,
U1,W5500EvalModule,1,~,
"U10, U2, U9",TI_SO-PowerPAD-8_ThermalVias,3,TPS5430DDAR,
"U12, U13, U14",SOIC-16_3.9x9.9mm_P1.27mm,3,HT26LS31ARZ,
"U3, U4, U5, U6, U7, U8",SOIC-8_3.9x4.9mm_P1.27mm,6,ADuM1201AR,
